Timestamp, Speed
2023-02-04 00:48:28.641476,0.0 kilometer_per_hour
2023-02-04 00:48:28.681613,0.0 kilometer_per_hour
2023-02-04 00:48:28.721489,0.0 kilometer_per_hour
2023-02-04 00:48:28.761565,0.0 kilometer_per_hour
2023-02-04 00:48:28.801457,0.0 kilometer_per_hour
2023-02-04 00:48:28.841756,0.0 kilometer_per_hour
2023-02-04 00:48:28.881439,0.0 kilometer_per_hour
2023-02-04 00:48:28.921594,0.0 kilometer_per_hour
2023-02-04 00:48:28.962007,0.0 kilometer_per_hour
2023-02-04 00:48:29.001627,0.0 kilometer_per_hour
2023-02-04 00:48:29.041685,0.0 kilometer_per_hour
2023-02-04 00:48:29.081614,0.0 kilometer_per_hour
2023-02-04 00:48:29.121696,0.0 kilometer_per_hour
2023-02-04 00:48:29.161741,0.0 kilometer_per_hour
2023-02-04 00:48:29.201737,0.0 kilometer_per_hour
2023-02-04 00:48:29.241742,0.0 kilometer_per_hour
2023-02-04 00:48:29.282491,0.0 kilometer_per_hour
2023-02-04 00:48:29.321667,0.0 kilometer_per_hour
2023-02-04 00:48:29.361568,0.0 kilometer_per_hour
2023-02-04 00:48:29.402118,0.0 kilometer_per_hour
2023-02-04 00:48:29.441657,0.0 kilometer_per_hour
2023-02-04 00:48:29.481742,0.0 kilometer_per_hour
2023-02-04 00:48:29.521720,0.0 kilometer_per_hour
2023-02-04 00:48:29.561638,0.0 kilometer_per_hour
2023-02-04 00:48:29.601732,0.0 kilometer_per_hour
2023-02-04 00:48:29.641646,0.0 kilometer_per_hour
2023-02-04 00:48:29.682406,0.0 kilometer_per_hour
2023-02-04 00:48:29.722127,0.0 kilometer_per_hour
2023-02-04 00:48:29.761718,0.0 kilometer_per_hour
2023-02-04 00:48:29.801817,0.0 kilometer_per_hour
2023-02-04 00:48:29.842073,0.0 kilometer_per_hour
2023-02-04 00:48:29.881777,0.0 kilometer_per_hour
2023-02-04 00:48:29.921681,0.0 kilometer_per_hour
2023-02-04 00:48:29.961795,0.0 kilometer_per_hour
2023-02-04 00:48:30.001851,0.0 kilometer_per_hour
2023-02-04 00:48:30.041788,0.0 kilometer_per_hour
2023-02-04 00:48:30.081973,0.0 kilometer_per_hour
2023-02-04 00:48:30.121881,0.0 kilometer_per_hour
2023-02-04 00:48:30.162482,0.0 kilometer_per_hour
2023-02-04 00:48:30.201879,0.0 kilometer_per_hour
2023-02-04 00:48:30.241925,0.0 kilometer_per_hour
2023-02-04 00:48:30.282850,0.0 kilometer_per_hour
2023-02-04 00:48:30.321955,0.0 kilometer_per_hour
2023-02-04 00:48:30.361927,0.0 kilometer_per_hour
2023-02-04 00:48:30.401855,0.0 kilometer_per_hour
2023-02-04 00:48:30.441856,0.0 kilometer_per_hour
2023-02-04 00:48:30.482745,0.0 kilometer_per_hour
2023-02-04 00:48:30.521939,0.0 kilometer_per_hour
2023-02-04 00:48:30.562020,0.0 kilometer_per_hour
2023-02-04 00:48:30.602614,0.0 kilometer_per_hour
2023-02-04 00:48:30.642047,0.0 kilometer_per_hour
2023-02-04 00:48:30.681927,0.0 kilometer_per_hour
2023-02-04 00:48:30.721926,0.0 kilometer_per_hour
2023-02-04 00:48:30.761975,0.0 kilometer_per_hour
2023-02-04 00:48:30.802013,0.0 kilometer_per_hour
2023-02-04 00:48:30.841922,0.0 kilometer_per_hour
2023-02-04 00:48:30.881817,0.0 kilometer_per_hour
2023-02-04 00:48:30.922012,0.0 kilometer_per_hour
2023-02-04 00:48:30.962344,0.0 kilometer_per_hour
2023-02-04 00:48:31.002058,0.0 kilometer_per_hour
2023-02-04 00:48:31.042696,0.0 kilometer_per_hour
2023-02-04 00:48:31.082941,0.0 kilometer_per_hour
2023-02-04 00:48:31.122352,0.0 kilometer_per_hour
2023-02-04 00:48:31.162583,0.0 kilometer_per_hour
2023-02-04 00:48:31.202347,0.0 kilometer_per_hour
2023-02-04 00:48:31.242250,0.0 kilometer_per_hour
2023-02-04 00:48:31.282160,0.0 kilometer_per_hour
2023-02-04 00:48:31.322254,0.0 kilometer_per_hour
2023-02-04 00:48:31.362159,0.0 kilometer_per_hour
2023-02-04 00:48:31.402257,0.0 kilometer_per_hour
2023-02-04 00:48:31.442322,0.0 kilometer_per_hour
2023-02-04 00:48:31.482754,0.0 kilometer_per_hour
2023-02-04 00:48:31.523016,0.0 kilometer_per_hour
2023-02-04 00:48:31.562170,0.0 kilometer_per_hour
2023-02-04 00:48:31.602367,0.0 kilometer_per_hour
2023-02-04 00:48:31.642242,0.0 kilometer_per_hour
2023-02-04 00:48:31.682492,0.0 kilometer_per_hour
2023-02-04 00:48:31.722571,0.0 kilometer_per_hour
2023-02-04 00:48:31.762493,0.0 kilometer_per_hour
2023-02-04 00:48:31.802309,0.0 kilometer_per_hour
2023-02-04 00:48:31.842553,0.0 kilometer_per_hour
2023-02-04 00:48:31.882446,0.0 kilometer_per_hour
2023-02-04 00:48:31.922875,0.0 kilometer_per_hour
2023-02-04 00:48:31.962454,0.0 kilometer_per_hour
2023-02-04 00:48:32.002521,0.0 kilometer_per_hour
2023-02-04 00:48:32.042949,1.0 kilometer_per_hour
2023-02-04 00:48:32.082538,1.0 kilometer_per_hour
2023-02-04 00:48:32.122436,1.0 kilometer_per_hour
2023-02-04 00:48:32.162535,1.0 kilometer_per_hour
